src_addr,src_port,dst_addr,dst_port,protocol,packet_len
10.21.75.34,53073,34.68.219.28,5986,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,1111
34.68.219.28,5986,10.21.75.34,53073,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,490
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,350
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53029,10.69.174.18,5004,TCP,434
10.21.75.34,53073,34.68.219.28,5986,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,1111
34.68.219.28,5986,10.21.75.34,53073,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
34.68.219.28,5986,10.21.75.34,53073,TCP,490
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,350
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,52843,64.207.197.28,4287,TCP,250
10.21.75.34,52912,34.107.221.82,80,TCP,363
10.21.75.34,51130,171.70.168.183,53,UDP,69
10.21.75.34,57348,171.70.168.183,53,UDP,69
171.70.168.183,53,10.21.75.34,51130,UDP,264
171.70.168.183,53,10.21.75.34,57348,UDP,221
10.21.75.34,53925,171.70.168.183,53,UDP,103
171.70.168.183,53,10.21.75.34,53925,UDP,188
10.21.75.34,53157,18.214.77.82,443,TCP,68
18.214.77.82,443,10.21.75.34,53157,TCP,64
10.21.75.34,53157,18.214.77.82,443,TCP,56
10.21.75.34,53157,18.214.77.82,443,TCP,630
18.214.77.82,443,10.21.75.34,53157,TCP,56
18.214.77.82,443,10.21.75.34,53157,TCP,1304
10.21.75.34,53157,18.214.77.82,443,TCP,56
18.214.77.82,443,10.21.75.34,53157,TCP,1304
10.21.75.34,53157,18.214.77.82,443,TCP,56
18.214.77.82,443,10.21.75.34,53157,TCP,1304
10.21.75.34,53157,18.214.77.82,443,TCP,56
18.214.77.82,443,10.21.75.34,53157,TCP,1304
10.21.75.34,53157,18.214.77.82,443,TCP,56
18.214.77.82,443,10.21.75.34,53157,TCP,436
10.21.75.34,53157,18.214.77.82,443,TCP,56
10.21.75.34,53157,18.214.77.82,443,TCP,182
18.214.77.82,443,10.21.75.34,53157,TCP,314
18.214.77.82,443,10.21.75.34,53157,TCP,125
10.21.75.34,53157,18.214.77.82,443,TCP,56
10.21.75.34,53157,18.214.77.82,443,TCP,56
10.21.75.34,53157,18.214.77.82,443,TCP,233
10.21.75.34,53157,18.214.77.82,443,TCP,324
10.21.75.34,53157,18.214.77.82,443,TCP,285
10.21.75.34,53157,18.214.77.82,443,TCP,94
18.214.77.82,443,10.21.75.34,53157,TCP,56
18.214.77.82,443,10.21.75.34,53157,TCP,94
10.21.75.34,53157,18.214.77.82,443,TCP,56
18.214.77.82,443,10.21.75.34,53157,TCP,1304
18.214.77.82,443,10.21.75.34,53157,TCP,1304
18.214.77.82,443,10.21.75.34,53157,TCP,1304
18.214.77.82,443,10.21.75.34,53157,TCP,548
18.214.77.82,443,10.21.75.34,53157,TCP,94
10.21.75.34,53157,18.214.77.82,443,TCP,56
10.21.75.34,53157,18.214.77.82,443,TCP,56
10.21.75.34,53157,18.214.77.82,443,TCP,56
10.21.75.34,53157,18.214.77.82,443,TCP,56
10.21.75.34,53157,18.214.77.82,443,TCP,56
10.21.75.34,53157,18.214.77.82,443,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,1111
34.68.219.28,5986,10.21.75.34,53073,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
34.68.219.28,5986,10.21.75.34,53073,TCP,490
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
34.68.219.28,5986,10.21.75.34,53073,TCP,1284
10.21.75.34,53073,34.68.219.28,5986,TCP,56
